,customer_id,store_name,transaction_date,aisle,product_name,quantity,unit_price,total_amount,discount_amount,final_amount,loyalty_points
611,6362,QuickStop Market,2025-02-13,Bakery,Croissant,2,3.53,7.06,0.38,6.68,61
613,8600,FreshMart,2025-07-13,Produce,Bananas,4,4.54,18.16,1.73,16.43,145
636,3007,QuickStop Market,2025-03-03,Bakery,Bread,1,4.35,4.35,0.13,4.22,44
637,8096,UrbanGrocers,2025-07-25,Bakery,Muffin,2,2.49,4.98,0.33,4.65,40
640,5026,FreshMart,2025-08-05,Dairy,Yogurt,4,6.54,26.16,0.69,25.47,214
657,3320,QuickStop Market,2025-11-25,Health & Wellness,Orange Juice,2,14.03,28.06,2.87,25.19,307
666,2453,FreshMart,2025-01-03,Bakery,Croissant,3,3.5,10.5,0.4,10.1,120
671,4695,ValuePlus Market,2025-01-22,Bakery,Cereal,2,2.29,4.58,0.17,4.41,46
682,5781,QuickStop Market,2025-04-23,Bakery,Croissant,1,4.33,4.33,0.51,3.82,41
683,7512,UrbanGrocers,2025-06-26,Health & Wellness,Orange Juice,1,26.57,26.57,3.79,22.78,289
689,7342,UrbanGrocers,2025-04-28,Snacks,Chips,2,5.02,10.04,1.12,8.92,74
706,7671,UrbanGrocers,2025-10-16,Health & Wellness,Orange Juice,2,24.16,48.32,5.54,42.78,366
710,5087,QuickStop Market,2025-02-12,Bakery,Croissant,2,5.52,11.04,1.54,9.5,130
717,5408,UrbanGrocers,2025-10-03,Bakery,Cereal,1,3.75,3.75,0.51,3.24,44
720,7168,FreshMart,2025-02-23,Health & Wellness,Orange Juice,2,24.31,48.62,2.28,46.34,390
721,8646,FreshMart,2025-11-02,Snacks,Chocolate,1,5.24,5.24,0.45,4.79,50
722,2676,QuickStop Market,2025-09-26,Health & Wellness,Protein Bar,5,23.89,119.45,7.55,111.9,1360
740,1950,QuickStop Market,2025-01-25,Health & Wellness,Orange Juice,1,13.1,13.1,0.83,12.27,170
741,3762,ValuePlus Market,2025-06-28,Bakery,Bread,6,5.29,31.74,3.63,28.11,319
748,5764,UrbanGrocers,2025-11-01,Snacks,Cookies,4,2.84,11.36,0.42,10.94,144
756,9966,FreshMart,2025-04-27,Produce,Bananas,1,4.8,4.8,0.69,4.11,48
778,4669,FreshMart,2025-10-27,Snacks,Cookies,4,1.5,6.0,0.28,5.72,75
781,9283,UrbanGrocers,2025-07-23,Produce,Apples,4,7.11,28.44,3.06,25.38,215
785,2442,UrbanGrocers,2025-01-05,Health & Wellness,Orange Juice,2,25.76,51.52,4.94,46.58,523
788,5990,ValuePlus Market,2025-02-11,Health & Wellness,Vitamins,4,14.91,59.64,4.62,55.02,654
789,1889,ValuePlus Market,2025-02-04,Health & Wellness,Protein Bar,7,6.91,48.37,6.15,42.22,411
790,8751,FreshMart,2025-01-27,Bakery,Cereal,2,2.3,4.6,0.27,4.33,47
796,1761,QuickStop Market,2025-01-19,Dairy,Yogurt,2,5.22,10.44,0.69,9.75,98
797,9260,ValuePlus Market,2025-08-05,Bakery,Cereal,5,5.67,28.35,1.7,26.65,359
798,8091,UrbanGrocers,2025-09-13,Produce,Bananas,10,4.33,43.3,2.86,40.44,446
806,2890,FreshMart,2025-05-21,Snacks,Cookies,1,5.02,5.02,0.26,4.76,48
820,1092,FreshMart,2025-03-25,Produce,Apples,2,2.92,5.84,0.77,5.07,67
830,5633,QuickStop Market,2025-10-18,Health & Wellness,Protein Bar,2,6.96,13.92,1.67,12.25,140
831,9335,UrbanGrocers,2025-06-16,Bakery,Croissant,4,5.51,22.04,2.74,19.3,214
832,4154,FreshMart,2025-10-05,Bakery,Cereal,1,5.15,5.15,0.52,4.63,57
841,2189,FreshMart,2025-08-21,Bakery,Croissant,7,5.0,35.0,2.18,32.82,315
843,7473,QuickStop Market,2025-04-25,Produce,Bananas,1,7.65,7.65,0.96,6.69,84
862,1600,FreshMart,2025-04-17,Produce,Tomatoes,3,1.63,4.89,0.39,4.5,54
870,7358,UrbanGrocers,2025-02-05,Bakery,Cereal,1,4.72,4.72,0.26,4.46,60
871,6309,QuickStop Market,2025-11-05,Health & Wellness,Protein Bar,3,18.54,55.62,3.68,51.94,431
874,6781,FreshMart,2025-06-17,Dairy,Yogurt,5,7.92,39.6,1.8,37.8,469
878,6410,QuickStop Market,2025-05-26,Dairy,Cheese,9,7.39,66.51,8.7,57.81,787
883,4548,UrbanGrocers,2025-04-14,Dairy,Milk,2,3.41,6.82,0.34,6.48,56
891,7068,QuickStop Market,2025-12-10,Dairy,Milk,2,6.68,13.36,1.26,12.1,145
896,9561,QuickStop Market,2025-10-29,Bakery,Muffin,2,3.64,7.28,0.58,6.7,84
910,4190,QuickStop Market,2025-09-22,Snacks,Cookies,1,5.1,5.1,0.41,4.69,50
918,6570,QuickStop Market,2025-10-03,Health & Wellness,Protein Bar,4,7.96,31.84,3.15,28.69,277
920,4985,FreshMart,2025-02-22,Dairy,Yogurt,5,2.07,10.35,1.25,9.1,85
926,3994,ValuePlus Market,2025-08-05,Produce,Bananas,7,9.86,69.02,8.01,61.01,589
933,8836,QuickStop Market,2025-08-20,Health & Wellness,Vitamins,2,16.53,33.06,1.72,31.34,339
944,9470,FreshMart,2025-06-16,Health & Wellness,Vitamins,5,17.97,89.85,9.47,80.38,1076
946,4530,FreshMart,2025-05-05,Bakery,Muffin,5,2.66,13.3,1.26,12.04,129
950,6326,UrbanGrocers,2025-01-04,Bakery,Muffin,1,6.33,6.33,0.8,5.53,76
958,2565,QuickStop Market,2025-04-22,Snacks,Chips,5,2.79,13.95,1.11,12.84,126
959,1431,UrbanGrocers,2025-11-16,Bakery,Cereal,8,2.72,21.76,3.08,18.68,226
962,3071,ValuePlus Market,2025-11-27,Produce,Apples,4,1.78,7.12,0.53,6.59,57
965,8480,UrbanGrocers,2025-11-14,Snacks,Chocolate,5,3.79,18.95,1.3,17.65,168
969,6634,FreshMart,2025-04-05,Snacks,Chips,1,4.97,4.97,0.46,4.51,42
975,5454,FreshMart,2025-12-18,Health & Wellness,Vitamins,2,13.84,27.68,3.85,23.83,226
977,2808,UrbanGrocers,2025-01-28,Health & Wellness,Protein Bar,3,12.65,37.95,0.95,37.0,356
987,1549,ValuePlus Market,2025-03-02,Bakery,Bread,1,3.23,3.23,0.07,3.16,41
993,1146,QuickStop Market,2025-04-30,Snacks,Chips,1,4.22,4.22,0.23,3.99,53
1002,3627,QuickStop Market,2025-12-15,Produce,Ground Beef,3,1.66,4.98,0.12,4.86,50
1012,1214,ValuePlus Market,2025-07-05,Bakery,Muffin,6,3.09,18.54,2.62,15.92,193
1014,1955,FreshMart,2025-12-06,Bakery,Cereal,6,2.38,14.28,1.94,12.34,172
1016,2658,ValuePlus Market,2025-12-17,Dairy,Milk,5,1.89,9.45,0.34,9.11,126
1024,5162,FreshMart,2025-01-27,Dairy,Cheese,1,1.73,1.73,0.09,1.64,13
1037,3450,FreshMart,2025-08-19,Produce,Bananas,4,8.82,35.28,1.25,34.03,272
1053,4339,FreshMart,2025-06-01,Snacks,Cookies,2,2.13,4.26,0.44,3.82,49
1060,2631,FreshMart,2025-06-08,Snacks,Cookies,4,2.84,11.36,1.34,10.02,107
1078,6886,QuickStop Market,2025-05-06,Produce,Ground Beef,1,9.76,9.76,1.43,8.33,75
1083,9027,FreshMart,2025-02-17,Produce,Ground Beef,2,7.48,14.96,1.04,13.92,115
1085,9784,QuickStop Market,2025-11-02,Bakery,Muffin,2,2.41,4.82,0.61,4.21,54
1089,5989,FreshMart,2025-03-04,Produce,Ground Beef,1,7.29,7.29,0.69,6.6,60
1090,5823,QuickStop Market,2025-10-18,Produce,Ground Beef,1,7.08,7.08,0.84,6.24,69
1091,8400,QuickStop Market,2025-08-12,Bakery,Bread,1,5.13,5.13,0.16,4.97,52
1096,6946,QuickStop Market,2025-11-15,Dairy,Yogurt,7,5.4,37.8,5.47,32.33,268
1102,5146,QuickStop Market,2025-02-21,Dairy,Cheese,2,5.37,10.74,0.32,10.42,83
1103,9904,QuickStop Market,2025-07-14,Produce,Bananas,3,7.45,22.35,1.64,20.71,226
1115,2790,QuickStop Market,2025-06-04,Snacks,Cookies,2,3.39,6.78,1.01,5.77,50
1117,6797,ValuePlus Market,2025-07-26,Snacks,Cookies,8,4.97,39.76,5.48,34.28,478
1126,6536,UrbanGrocers,2025-04-27,Bakery,Bread,2,3.46,6.92,0.8,6.12,49
1127,8888,ValuePlus Market,2025-03-01,Snacks,Chocolate,4,5.24,20.96,0.89,20.07,217
1137,1408,UrbanGrocers,2025-08-10,Produce,Bananas,4,9.01,36.04,5.09,30.95,251
1138,6572,UrbanGrocers,2025-11-14,Health & Wellness,Vitamins,1,25.0,25.0,1.99,23.01,262
1139,3347,QuickStop Market,2025-10-15,Produce,Bananas,3,7.82,23.46,3.31,20.15,281
1155,8464,FreshMart,2025-03-21,Dairy,Milk,5,6.99,34.95,1.37,33.58,407
1158,1495,QuickStop Market,2025-04-30,Bakery,Croissant,5,5.99,29.95,1.13,28.82,395
1161,2162,FreshMart,2025-12-22,Dairy,Cheese,4,6.81,27.24,2.94,24.3,231
1170,3403,ValuePlus Market,2025-01-29,Snacks,Chocolate,1,2.19,2.19,0.31,1.88,18
1180,1257,ValuePlus Market,2025-06-16,Dairy,Milk,2,1.52,3.04,0.14,2.9,30
1182,7974,ValuePlus Market,2025-02-04,Snacks,Chocolate,4,1.84,7.36,0.26,7.1,59
1184,7959,QuickStop Market,2025-08-02,Produce,Tomatoes,2,4.55,9.1,0.63,8.47,99
1186,7038,QuickStop Market,2025-05-26,Bakery,Bread,1,2.44,2.44,0.11,2.33,19
1187,9624,FreshMart,2025-03-19,Snacks,Chips,2,4.63,9.26,0.6,8.66,92
1190,1176,UrbanGrocers,2025-02-02,Snacks,Chocolate,2,5.44,10.88,1.28,9.6,91
1197,3860,ValuePlus Market,2025-01-03,Health & Wellness,Orange Juice,2,12.76,25.52,0.86,24.66,338
1198,5280,ValuePlus Market,2025-06-09,Produce,Apples,1,4.05,4.05,0.24,3.81,37
1203,8802,FreshMart,2025-05-04,Snacks,Chips,1,3.35,3.35,0.4,2.95,40
1204,7222,UrbanGrocers,2025-04-27,Health & Wellness,Orange Juice,7,23.53,164.71,22.31,142.4,1309
1206,7258,FreshMart,2025-12-11,Bakery,Cereal,2,2.9,5.8,0.64,5.16,46
1209,5183,UrbanGrocers,2025-03-03,Produce,Bananas,2,5.19,10.38,0.26,10.12,97
1238,6041,UrbanGrocers,2025-12-27,Dairy,Milk,2,6.29,12.58,0.99,11.59,144
1256,1616,ValuePlus Market,2025-08-09,Snacks,Chips,8,3.42,27.36,1.47,25.89,215
1258,4144,QuickStop Market,2025-12-11,Bakery,Croissant,3,4.84,14.52,0.6,13.92,143
1259,9842,ValuePlus Market,2025-03-16,Produce,Tomatoes,4,10.7,42.8,4.9,37.9,513
1280,1656,UrbanGrocers,2025-08-27,Bakery,Muffin,2,6.27,12.54,0.34,12.2,133
1281,9701,UrbanGrocers,2025-05-17,Bakery,Muffin,7,4.89,34.23,3.12,31.11,295
1285,5994,ValuePlus Market,2025-02-24,Snacks,Cookies,3,1.65,4.95,0.47,4.48,56
1286,1399,UrbanGrocers,2025-03-14,Produce,Ground Beef,2,9.81,19.62,2.05,17.57,235
1287,4030,FreshMart,2025-03-16,Bakery,Cereal,4,2.78,11.12,0.67,10.45,96
1288,7305,FreshMart,2025-12-14,Bakery,Croissant,7,5.55,38.85,4.19,34.66,339
1293,4909,QuickStop Market,2025-05-13,Snacks,Cookies,1,1.25,1.25,0.1,1.15,14
1296,7108,FreshMart,2025-01-27,Dairy,Yogurt,4,8.35,33.4,3.61,29.79,303
1297,9629,QuickStop Market,2025-04-09,Snacks,Cookies,7,2.31,16.17,1.02,15.15,184
1298,9730,FreshMart,2025-01-25,Snacks,Chocolate,5,5.19,25.95,1.21,24.74,316
1299,2075,ValuePlus Market,2025-02-18,Bakery,Cereal,4,2.48,9.92,0.7,9.22,89
1302,3465,ValuePlus Market,2025-11-02,Bakery,Croissant,6,2.99,17.94,2.57,15.37,143
1303,7824,ValuePlus Market,2025-04-25,Health & Wellness,Vitamins,2,22.14,44.28,3.15,41.13,479
1305,1361,ValuePlus Market,2025-10-29,Health & Wellness,Vitamins,1,15.93,15.93,0.67,15.26,154
1306,6616,FreshMart,2025-06-14,Snacks,Cookies,2,1.35,2.7,0.26,2.44,32
1307,9686,UrbanGrocers,2025-02-18,Health & Wellness,Protein Bar,1,18.65,18.65,1.98,16.67,175
1310,6785,FreshMart,2025-02-10,Produce,Bananas,9,5.27,47.43,4.04,43.39,584
1335,7254,FreshMart,2025-07-02,Bakery,Croissant,5,6.37,31.85,1.02,30.83,276
1336,5979,UrbanGrocers,2025-03-13,Produce,Apples,8,6.42,51.36,1.12,50.24,479
1341,8144,FreshMart,2025-05-03,Bakery,Croissant,2,6.56,13.12,1.31,11.81,120
1343,3394,FreshMart,2025-03-03,Produce,Tomatoes,2,8.84,17.68,1.47,16.21,206
1348,6939,QuickStop Market,2025-12-28,Snacks,Chocolate,6,3.67,22.02,2.5,19.52,199
1360,9412,QuickStop Market,2025-04-05,Bakery,Croissant,2,3.16,6.32,0.24,6.08,83
1371,2807,ValuePlus Market,2025-07-23,Health & Wellness,Protein Bar,3,27.22,81.66,4.02,77.64,929
1383,7626,UrbanGrocers,2025-09-25,Health & Wellness,Orange Juice,3,22.99,68.97,2.84,66.13,570
1386,1865,QuickStop Market,2025-08-02,Bakery,Bread,4,2.53,10.12,0.35,9.77,81
1388,2578,QuickStop Market,2025-10-30,Dairy,Cheese,7,5.8,40.6,5.22,35.38,433
1389,4308,FreshMart,2025-08-01,Dairy,Yogurt,1,6.77,6.77,0.38,6.39,75
1391,2951,UrbanGrocers,2025-01-17,Health & Wellness,Vitamins,7,6.04,42.28,4.67,37.61,464
1393,5965,ValuePlus Market,2025-07-06,Dairy,Milk,6,6.08,36.48,3.8,32.68,286
1394,6119,UrbanGrocers,2025-06-19,Bakery,Muffin,3,6.52,19.56,2.71,16.85,179
1395,9837,UrbanGrocers,2025-05-03,Snacks,Chips,1,2.69,2.69,0.34,2.35,28
1406,6282,QuickStop Market,2025-06-23,Bakery,Bread,1,5.91,5.91,0.45,5.46,54
1407,6504,UrbanGrocers,2025-08-21,Health & Wellness,Orange Juice,2,7.51,15.02,1.78,13.24,152
1413,2256,FreshMart,2025-08-29,Health & Wellness,Vitamins,1,13.25,13.25,0.48,12.77,112
1416,9178,ValuePlus Market,2025-03-29,Health & Wellness,Protein Bar,4,22.69,90.76,10.11,80.65,1048
1423,6087,UrbanGrocers,2025-06-11,Snacks,Chocolate,3,3.71,11.13,1.31,9.82,96
1426,3883,QuickStop Market,2025-06-13,Bakery,Cereal,6,3.37,20.22,2.76,17.46,150
1429,2833,QuickStop Market,2025-11-07,Snacks,Cookies,1,2.44,2.44,0.08,2.36,20
1434,1916,UrbanGrocers,2025-12-25,Health & Wellness,Protein Bar,3,11.35,34.05,0.85,33.2,356
1443,5489,QuickStop Market,2025-07-06,Dairy,Yogurt,1,6.64,6.64,0.16,6.48,66
1446,9973,FreshMart,2025-01-30,Bakery,Cereal,1,6.2,6.2,0.34,5.86,75
1480,8949,UrbanGrocers,2025-07-12,Bakery,Bread,1,6.45,6.45,0.28,6.17,73
1482,3959,ValuePlus Market,2025-09-14,Health & Wellness,Protein Bar,4,25.13,100.52,3.04,97.48,973
1483,4479,QuickStop Market,2025-11-24,Snacks,Chips,1,5.45,5.45,0.38,5.07,62
1497,9399,ValuePlus Market,2025-06-28,Dairy,Cheese,4,7.43,29.72,0.65,29.07,327
1500,1662,FreshMart,2025-03-13,Produce,Bananas,3,2.81,8.43,1.12,7.31,85
1503,5921,ValuePlus Market,2025-11-12,Dairy,Cheese,9,4.96,44.64,3.53,41.11,514
1509,5876,FreshMart,2025-02-06,Dairy,Yogurt,4,7.83,31.32,1.14,30.18,398
1513,3813,UrbanGrocers,2025-02-27,Dairy,Yogurt,2,4.14,8.28,1.08,7.2,78
1523,8074,UrbanGrocers,2025-07-23,Snacks,Cookies,2,3.58,7.16,0.33,6.83,85
1524,5764,QuickStop Market,2025-06-19,Dairy,Cheese,1,7.66,7.66,0.35,7.31,96
1529,5718,ValuePlus Market,2025-04-06,Health & Wellness,Vitamins,4,27.26,109.04,5.94,103.1,1240
1533,5627,QuickStop Market,2025-05-31,Produce,Bananas,2,1.87,3.74,0.08,3.66,31
1534,4268,ValuePlus Market,2025-07-08,Bakery,Muffin,2,6.31,12.62,1.3,11.32,145
1537,3598,ValuePlus Market,2025-08-24,Bakery,Cereal,4,6.36,25.44,2.43,23.01,258
1539,2977,ValuePlus Market,2025-06-15,Health & Wellness,Vitamins,5,21.41,107.05,4.03,103.02,1340
1541,1826,UrbanGrocers,2025-02-15,Bakery,Cereal,1,4.35,4.35,0.32,4.03,56
1542,2669,QuickStop Market,2025-09-08,Bakery,Bread,1,2.83,2.83,0.08,2.75,32
1555,1129,FreshMart,2025-12-01,Snacks,Chips,4,4.21,16.84,0.75,16.09,164
1566,3293,UrbanGrocers,2025-10-29,Produce,Apples,5,6.06,30.3,4.47,25.83,221
1572,7937,UrbanGrocers,2025-06-28,Dairy,Milk,10,4.58,45.8,1.77,44.03,455
1573,3364,ValuePlus Market,2025-06-08,Dairy,Milk,10,3.56,35.6,4.73,30.87,410
1582,8883,FreshMart,2025-01-26,Health & Wellness,Vitamins,2,6.66,13.32,0.33,12.99,159
